"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible"
"100","7","6118","","77102","0","","185",""
"18","6","6119","","5035","0","","173",""
"24","3","612","","36207","1","","57",""
"18","5","6120","","5035","0","","173",""
"18","9","6121","","5035","0","","173",""
"107","14","6122","","33105","0","","77",""
"107","3","6123","","33101","0","","77",""
"107","2","6124","","33101","0","","77",""
"24","15","6125","","36114","0","","132",""
"56","3","6126","","41206","1","","12",""
"56","2","6127","","41206","1","","12",""
"56","1","6128","","41206","1","","12",""
"56","8","6129","","41206","1","","12",""
"24","2","613","","36207","1","","57",""
"56","7","6130","","41206","1","","12",""
"56","6","6131","","41206","1","","12",""
"56","5","6132","","41206","1","","12",""
"24","2","6133","","36111","0","","132",""
"24","13","6134","","36111","0","","132",""
"24","12","6135","","36111","0","","132",""
"24","11","6136","","36111","0","","132",""
"24","3","6137","","36112","0","","132",""
"24","2","6138","","36112","0","","132",""
"24","13","6139","","36112","0","","132",""
"24","13","614","","36207","1","","57",""
"24","12","6140","","36112","0","","132",""
"24","11","6141","","36112","0","","132",""
"24","4","6142","","36704","0","","217",""
"51","8","6143","","35205","1","","267",""
"51","7","6144","","35205","1","","267",""
"51","3","6145","","35204","1","","163",""
"51","2","6146","","35204","1","","163",""
"51","1","6147","","35204","1","","163",""
"51","8","6148","","35204","1","","163",""
"51","7","6149","","35204","1","","163",""
"24","12","615","","36207","1","","57",""
"51","6","6150","","35204","1","","163",""
"51","5","6151","","35204","1","","163",""
"51","9","6152","","35204","1","","163",""
"51","10","6153","","35204","1","","163",""
"51","4","6154","","35205","1","","267",""
"51","3","6155","","35205","1","","267",""
"51","2","6156","","35205","1","","267",""
"3","9","6157","","1001","0","","159",""
"56","15","6158","","41108","0","","9",""
"56","3","6159","","41108","0","","9",""
"24","11","616","","36207","1","","57",""
"3","4","6160","","1070","1","","237",""
"3","3","6161","","1070","1","","237",""
"3","2","6162","","1070","1","","237",""
"3","1","6163","","1070","1","","237",""
"3","10","6164","","1001","0","","159",""
"3","10","6165","","1062","1","","237",""
"3","16","6166","","1062","1","","237",""
"56","11","6167","","41107","0","","9",""
"46","42","6168","","75205","1","","454",""
"14","5","6169","","76701","0","","573",""
"51","2","617","","35112","0","","63",""
"14","9","6170","","76701","0","","573",""
"14","4","6171","","76105","0","","214",""
"14","3","6172","","76105","0","","214",""
"14","2","6173","","76105","0","","214",""
"14","1","6174","","76105","0","","214",""
"14","8","6175","","76105","0","","214",""
"14","7","6176","","76105","0","","214",""
"14","6","6177","","76105","0","","214",""
"89","9","6178","","2061","0","","410",""
"89","4","6179","","2085","0","","410",""
"71","2","618","","23101","0","","56",""
"14","5","6180","","76105","0","","214",""
"14","9","6181","","76105","0","","214",""
"14","10","6182","","76105","0","","214",""
"14","4","6183","","76106","0","","214",""
"14","3","6184","","76106","0","","214",""
"14","2","6185","","76106","0","","214",""
"14","1","6186","","76106","0","","214",""
"14","8","6187","","76106","0","","214",""
"14","7","6188","","76106","0","","214",""
"14","6","6189","","76106","0","","214",""
"71","1","619","","23101","0","","56",""
"14","5","6190","","76106","0","","214",""
"14","9","6191","","76106","0","","214",""
"14","10","6192","","76106","0","","214",""
"14","4","6193","","76107","0","","214",""
"14","3","6194","","76107","0","","214",""
"14","2","6195","","76107","0","","214",""
"14","1","6196","","76107","0","","214",""
"14","8","6197","","76107","0","","214",""
"14","7","6198","","76107","0","","214",""
"14","6","6199","","76107","0","","214",""
"46","62","62","","75202","1","","454",""
"107","14","620","","33103","0","","77",""
"14","9","6200","","76107","0","","214",""
"28","5","6201","","42205","1","","332",""
"28","9","6202","","42205","1","","332",""
"28","10","6203","","42205","1","","332",""
"28","4","6204","","42206","1","","332",""
"89","6","6205","","2005","0","","410",""
"89","10","6206","","2073","0","","410",""
"89","8","6207","","2005","0","","410",""
"89","5","6208","","2021","0","","410",""
"89","1","6209","","2013","0","","410",""
"20","17","621","","32602","1","","65",""
"89","9","6210","","2013","0","","410",""
"28","3","6211","","42107","0","","331",""
"28","2","6212","","42107","0","","331",""
"89","10","6213","","2085","0","","410",""
"89","9","6214","","2085","0","","410",""
"89","5","6215","","2085","0","","410",""
"89","6","6216","","2085","0","","410",""
"89","7","6217","","2085","0","","410",""
"89","3","6218","","2113","0","","410",""
"89","8","6219","","2085","0","","410",""
"107","19","622","","33104","0","","77",""
"89","2","6220","","2085","0","","410",""
"89","3","6221","","2085","0","","410",""
"89","9","6222","","2101","0","","410",""
"89","5","6223","","2101","0","","410",""
"3","3","6224","","1067","0","","231",""
"3","2","6225","","1067","0","","231",""
"3","1","6226","","1067","0","","231",""
"3","8","6227","","1067","0","","231",""
"3","7","6228","","1067","0","","231",""
"3","6","6229","","1067","0","","231",""
"100","7","623","","77103","0","","23",""
"3","5","6230","","1067","0","","231",""
"3","9","6231","","1067","0","","231",""
"3","10","6232","","1067","0","","231",""
"3","16","6233","","1067","0","","231",""
"3","4","6234","","1075","0","","159",""
"3","3","6235","","1075","0","","159",""
"3","4","6236","","1008","1","","194",""
"3","3","6237","","1008","1","","194",""
"3","2","6238","","1008","1","","194",""
"3","1","6239","","1008","1","","194",""
"100","2","624","","77110","0","","23",""
"3","8","6240","","1008","1","","194",""
"3","7","6241","","1008","1","","194",""
"3","5","6242","","1015","0","","231",""
"3","9","6243","","1015","0","","231",""
"3","10","6244","","1015","0","","231",""
"3","9","6245","","1008","1","","194",""
"3","4","6246","","1031","0","","159",""
"3","3","6247","","1031","0","","159",""
"19","4","6248","","8036","1","","244",""
"19","3","6249","","8036","1","","244",""
"100","9","625","","77104","0","","23",""
"19","2","6250","","8036","1","","244",""
"19","1","6251","","8036","1","","244",""
"19","8","6252","","8036","1","","244",""
"40","7","6253","","6003","0","","86",""
"40","6","6254","","6003","0","","86",""
"40","5","6255","","6003","0","","86",""
"40","9","6256","","6003","0","","86",""
